Papel,Cotação,Tipo,Data ult cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia%,P/L,LPA,Mês%,P/VP,VPA,30 dias%,P/EBIT,Marg. Bruta%,12 meses%,PSR,Marg. EBIT,Ano_Atual%,P/Ativos,Marg. Líquida%,Ano_Atual(-1)%,P/Cap. Giro,EBIT / Ativo%,Ano_Atual(-2)%,P/Ativ Circ Liq,ROIC%,Ano_Atual(-3)%,Div. Yield%,ROE%,Ano_Atual(-4)%,EV / EBITDA,Liquidez Corr,Ano_Atual(-5)%,EV / EBIT,Div Br/ Patrim,Ano_Atual(-6)%,Cres. Rec (5a),Giro Ativos,Ativo,Depósitos,Cart. de Crédito,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida_12meses,Receita Líquida_3meses,EBIT_12meses,EBIT_3meses,Result Int Financ_12meses,Result Int Financ_3meses,Rec Serviços_12meses,Rec Serviços_3meses,Lucro Líquido_12meses,Lucro Líquido_3meses
BNBR3,79.98,ON,14/02/2023,BANCO DO NORDESTE ON,65.68,Intermediários Financeiros,81.85,Bancos,3.875,6907950000,31/12/2022,,86371000,0.00,3.43,23.33,5.93,0.77,104.16,9.56,,,21.62,,,6.64,,0.0,8.14,,0.0,1.65,,,-17.58,5.6,22.4,164.45,,,1.21,,,NaN,22.3,,63167200000,0,0,NaN,NaN,NaN,NaN,8996180000,NaN,NaN,NaN,NaN,3744130000,1200830000,3024650000,800.815.000,2015330000,738882000
BBAS3,40.30,ON,28/02/2023,BANCO DO BRASIL S.A. ON,29.45,Intermediários Financeiros,42.63,Bancos,663.420.000,115476000000,31/12/2022,,2865420000,0.93,3.75,10.75,0.79,0.75,53.59,2.09,,,28.84,,,18.11,,0.0,33.13,,0.0,-20.77,,,-24.04,12.4,20.1,18.75,,,46.22,,,NaN,17.5,,2062670000000,0,0,NaN,NaN,NaN,NaN,153547000000,NaN,NaN,NaN,NaN,50054200000,13029000000,20536800000,5.245.980.000,30796900000,8594850000
BAZA3,61.44,ON,28/02/2023,BANCO DA AMAZONIA S.A. ON,34.20,Intermediários Financeiros,63.20,Bancos,252.382,3444200000,30/09/2022,,56058000,-0.90,3.02,20.34,13.80,0.71,87.09,17.03,,,72.44,,,23.00,,0.0,40.19,,0.0,3.55,,,15.24,5.9,23.4,75.51,,,-2.86,,,NaN,23.6,,33975000000,0,0,NaN,NaN,NaN,NaN,4881810000,NaN,NaN,NaN,NaN,1019380000,304066000,1011610000,251.455.000,1140400000,387828000
BSLI4,11.55,ON,28/02/2023,BRB ON,11.55,Intermediários Financeiros,21.76,Bancos,5.242,4193190000,30/09/2022,,363047000,-1.79,9.84,1.17,-16.91,1.97,5.87,-18.95,,,-46.45,,,-19.74,,0.0,-16.45,,0.0,101.20,,,138.69,3.6,20.0,42.72,,,23.62,,,NaN,0.0,,38922500000,0,0,NaN,NaN,NaN,NaN,2131890000,NaN,NaN,NaN,NaN,1357850000,499645000,267400000,74.593.000,425964000,59273000
IDVL3,2.16,ON N1,30/12/2020,Indusval ON N1,1.86,Intermediários Financeiros,2.95,Bancos,0,222095000,30/09/2020,,102822000,0.00,-1.02,-2.12,0.00,0.93,2.31,0.00,,,-27.27,,,0.00,,0.0,-44.47,,0.0,-24.02,,,21.33,0.0,-91.8,-11.53,,,-15.87,,,NaN,,,3958190000,2674290000,166638000,NaN,NaN,NaN,NaN,237683000,NaN,NaN,NaN,NaN,33340000,13984000,4056000,1.180.000,-218097000,-13680000
IDVL4,2.67,PN N1,30/12/2020,Indusval PN N1,2.20,Intermediários Financeiros,3.03,Bancos,0,274535000,30/09/2020,,102822000,0.00,-1.26,-2.12,0.00,1.16,2.31,0.00,,,-14.42,,,0.00,,0.0,-37.91,,0.0,1.198.31,,,-42.74,0.0,-91.8,-15.83,,,36.27,,,NaN,,,3958190000,2674290000,166638000,NaN,NaN,NaN,NaN,237683000,NaN,NaN,NaN,NaN,33340000,13984000,4056000,1.180.000,-218097000,-13680000
BRSR6,9.99,PNB,28/02/2023,BANRISUL S/A PNB,8.87,Intermediários Financeiros,12.69,Bancos,15.096.900,4085650000,31/12/2022,,408974000,3.31,5.71,1.75,-0.30,0.43,23.02,2.57,,,7.53,,,2.99,,0.0,8.20,,0.0,-28.88,,,-30.07,8.8,7.6,2.32,,,66.22,,,NaN,1.8,,113038000000,0,0,NaN,NaN,NaN,NaN,9413890000,NaN,NaN,NaN,NaN,4498360000,1677400000,915924000,223.710.000,714934000,251074000
PINE4,1.80,PN,28/02/2023,Pine PN,0.96,Intermediários Financeiros,1.90,Bancos,386.138,335594000,31/12/2022,,186441000,-1.10,8.21,0.22,3.45,0.39,4.66,1.32,,,27.87,,,13.05,,0.0,-8.38,,0.0,-28.97,,,-40.24,3.4,4.7,90.04,,,-36.49,,,NaN,44.8,,16350600000,8113760000,4448420000,NaN,NaN,NaN,NaN,868979000,NaN,NaN,NaN,NaN,187354000,58884000,40100000,13.096.000,40900000,22394000
BSLI3,13.50,ON,28/02/2023,BRB ON,13.50,Intermediários Financeiros,26.26,Bancos,4.886,4901130000,30/09/2022,,363047000,-3.85,11.51,1.17,-14.61,2.30,5.87,-24.16,,,-51.03,,,-25.00,,0.0,-24.46,,0.0,82.11,,,213.63,2.8,20.0,66.46,,,-3.94,,,NaN,0.0,,38922500000,0,0,NaN,NaN,NaN,NaN,2131890000,NaN,NaN,NaN,NaN,1357850000,499645000,267400000,74.593.000,425964000,59273000
BGIP4,18.57,PN,28/02/2023,BANESE PN,15.76,Intermediários Financeiros,28.63,Bancos,66.669,283842000,31/12/2022,,15285000,0.00,3.76,4.94,13.65,0.48,38.96,14.17,,,-12.65,,,16.43,,0.0,-27.18,,0.0,-6.16,,,-29.25,13.3,12.7,10.41,,,3.44,,,NaN,1.2,,7760910000,6549530000,3102880000,NaN,NaN,NaN,NaN,595556000,NaN,NaN,NaN,NaN,385682000,112260000,125500000,31.923.000,75512000,55935000
BRSR3,10.97,ON,28/02/2023,BANRISUL S/A ON,10.21,Intermediários Financeiros,13.63,Bancos,57.303,4486450000,31/12/2022,,408974000,0.83,6.28,1.75,-1.44,0.48,23.02,-0.18,,,-0.60,,,2.43,,0.0,-3.77,,0.0,-19.77,,,-29.62,8.0,7.6,12.69,,,-1.87,,,NaN,1.8,,113038000000,0,0,NaN,NaN,NaN,NaN,9413890000,NaN,NaN,NaN,NaN,4498360000,1677400000,915924000,223.710.000,714934000,251074000
BMEB3,11.19,ON,24/02/2023,BANCO MERCANTIL DO BRASIL S/A ON,9.63,Intermediários Financeiros,18.01,Bancos,5.879,1173070000,30/09/2022,,104832000,0.00,6.55,1.71,2.57,0.96,11.71,1.73,,,-9.05,,,11.90,,0.0,-13.87,,0.0,53.24,,,30.47,2.3,14.6,86.33,,,0.86,,,NaN,16.3,,14400100000,0,0,NaN,NaN,NaN,NaN,1227450000,NaN,NaN,NaN,NaN,1903110000,488932000,278565000,76.313.000,179220000,40100000
ABCB4,18.15,PN N2,28/02/2023,ABC Brasil PN N2,14.34,Intermediários Financeiros,22.30,Bancos,18.343.900,4103540000,31/12/2022,,226090000,1.11,5.13,3.54,-5.42,0.79,23.02,-7.26,,,24.29,,,-6.08,,0.0,31.86,,0.0,7.65,,,-20.08,7.7,15.4,26.82,,,5.64,,,NaN,27.5,,56768500000,0,0,NaN,NaN,NaN,NaN,5205390000,NaN,NaN,NaN,NaN,1457840000,344592000,367979000,90.254.000,800234000,197272000
BRSR5,14.20,PNA,24/02/2023,BANRISUL S/A PNA,14.20,Intermediários Financeiros,17.96,Bancos,1.771,5807430000,31/12/2022,,408974000,0.00,8.12,1.75,-4.12,0.62,23.02,-8.68,,,-13.55,,,-19.23,,0.0,9.64,,0.0,-10.08,,,-18.25,6.3,7.6,8.78,,,37.06,,,NaN,1.8,,113038000000,0,0,NaN,NaN,NaN,NaN,9413890000,NaN,NaN,NaN,NaN,4498360000,1677400000,915924000,223.710.000,714934000,251074000
BMGB4,2.08,PN N1,28/02/2023,BANCO BMG PN N1,1.88,Intermediários Financeiros,2.78,Bancos,2.454.370,1213120000,31/12/2022,,583232000,1.46,5.36,0.39,-7.14,0.31,6.75,-5.88,,,-15.66,,,-5.45,,0.0,-20.52,,0.0,-45.68,,,-35.17,17.6,5.7,19.24,,,0.00,,,NaN,-3.5,,47011900000,27930800000,18928000000,NaN,NaN,NaN,NaN,3939450000,NaN,NaN,NaN,NaN,1595980000,373040000,146462000,55.419.000,226151000,72772000
SANB3,13.32,ON,28/02/2023,SANTANDER ON,11.99,Intermediários Financeiros,16.74,Bancos,2.649.530,99880400000,31/12/2022,,7498530000,0.38,8.08,1.65,-1.33,1.22,10.93,-0.75,,,-4.09,,,1.53,,0.0,-0.29,,0.0,-27.33,,,-9.75,6.5,15.1,18.81,,,22.68,,,NaN,1.8,,1062440000000,0,0,NaN,NaN,NaN,NaN,81965600000,NaN,NaN,NaN,NaN,17950900000,2753670000,15647400000,6.293.960.000,12358500000,1548980000
SANB4,15.17,PN,28/02/2023,SANTANDER PN,13.45,Intermediários Financeiros,18.31,Bancos,3.040.860,113753000000,31/12/2022,,7498530000,-1.24,9.20,1.65,-0.52,1.39,10.93,0.13,,,-1.91,,,2.90,,0.0,-0.29,,0.0,-24.82,,,6.52,6.3,15.1,19.56,,,57.94,,,NaN,1.8,,1062440000000,0,0,NaN,NaN,NaN,NaN,81965600000,NaN,NaN,NaN,NaN,17950900000,2753670000,15647400000,6.293.960.000,12358500000,1548980000
BBDC3,11.64,ON N1,28/02/2023,BANCO BRADESCO S.A. ON N1,11.59,Intermediários Financeiros,16.90,Bancos,110.046.000,124065000000,31/12/2022,,10658500000,-1.19,5.98,1.95,-7.67,0.80,14.47,-5.42,,,-20.65,,,-10.37,,0.0,-6.55,,0.0,-23.26,,,-20.33,7.9,13.4,26.75,,,18.55,,,NaN,6.1,,1503520000000,0,0,NaN,NaN,NaN,NaN,154263000000,NaN,NaN,NaN,NaN,26104400000,1311440000,21432700000,5.372.930.000,20732200000,1436770000
SANB11,28.33,UNT,28/02/2023,SANTANDER UNT,25.34,Intermediários Financeiros,35.04,Bancos,65.968.600,106217000000,31/12/2022,,7498530000,-1.60,8.59,3.30,-2.14,1.30,21.86,-0.94,,,-3.58,,,1.86,,0.0,0.14,,0.0,-25.94,,,-3.29,6.5,15.1,20.66,,,37.03,,,NaN,1.8,,1062440000000,0,0,NaN,NaN,NaN,NaN,81965600000,NaN,NaN,NaN,NaN,17950900000,2753670000,15647400000,6.293.960.000,12358500000,1548980000
BMEB4,9.97,PN,28/02/2023,BANCO MERCANTIL DO BRASIL S/A PN,9.64,Intermediários Financeiros,11.36,Bancos,68.357,1045180000,30/09/2022,,104832000,0.10,5.83,1.71,-1.29,0.85,11.71,-1.09,,,-6.61,,,-0.50,,0.0,-3.55,,0.0,41.81,,,28.99,2.8,14.6,97.56,,,61.58,,,NaN,16.3,,14400100000,0,0,NaN,NaN,NaN,NaN,1227450000,NaN,NaN,NaN,NaN,1903110000,488932000,278565000,76.313.000,179220000,40100000
